Rank,Name,Analytical Score,Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
85,Kurt Hinish,29.5,23.8,30.7,21.8,22.8,27.7,43.6,22.8,99,2,47,9.9
86,Solomon Thomas,29.3,19.8,33.7,10.9,56.4,29.7,9.9,34.7,62.4,12.9,47,38.1
87,Kerry Hyder Jr.,28.3,32.7,38.6,22.8,43.1,18.8,1,33.7,10.4,34.7,47,4
88,Shy Tuttle,27.8,6.9,19.8,33.7,4.5,62.4,58.4,14.9,2,77.2,47,67.3
89,Neville Gallimore,24.3,28.7,27.7,16.8,21.3,25.7,25.7,19.8,4,38.6,47,16.8
90,Jonathan Bullard,23.9,7.9,5.4,20.8,25.7,35.6,26.7,7.9,79.7,54.5,47,59.4
91,Mike Pennel,22.8,15.8,6.9,5,45.5,5,16.8,8.9,68.8,66.3,47,89.1
92,Brent Urban,22.6,11.9,58.4,1,4.5,40.6,2,35.6,35.1,29.7,47,19.8
93,Travis Jones,20.9,22.3,7.9,5.9,27.7,39.6,14.4,9.9,10.4,50.5,47,52.5
94,Angelo Blackson,20.4,13.4,8.9,23.8,21.3,5,19.8,4,86.6,25.7,47,43.6
95,Josh Tupou,20.1,2,14.9,13.9,26.7,67.8,18.8,17.8,12.4,19.8,47,1
96,Kevin Strong,17.1,13.4,26.7,3,4.5,5,5.9,10.9,53,62.4,47,55.4
97,Leki Fotu,16.3,4.5,3,24.8,32.7,5,42.6,2,24.3,6.9,47,5.9
98,Timmy Horne,12.3,5.9,11.9,7.9,23.8,5,17.8,5,6.9,23.8,47,10.9
99,Zach Carter,11.2,3,5.4,11.9,4.5,24.8,21.8,3,16.3,9.9,47,20.8
100,Derrick Nnadi,10.9,4.5,16.8,12.9,4.5,22.8,6.9,6.9,1,8.9,47,3
101,Justin Ellis,8.5,1,1,2,4.5,32.7,8.9,1,28.7,3,47,13.9
